Gana,Kanji,Meaning,JP_Example_1,JP_Example_Pronunciation_1,JP_Example_Meaning_1,JP_Example_2,JP_Example_Pronunciation_2,JP_Example_Meaning_2
おかし,,과자,お菓子がすきです。,おかしがすきです。,과자를 좋아합니다.,おかしを食べるのが好きです。,おかしをたべるのがすきです。,저는 과자를 먹는 것을 좋아합니다
おかしい,,이상하다,あの人のおかしいふるまいについていけない。,あのひとのおかしいふるまいについていけない。,그 사람의 이상한 행동을 따라갈 수 없다.,この説明はおかしいと思います。,このせつめいはおかしいとおもいます。,이 설명은 이상하다고 생각합니다
おかわり,お代わり,"한 그릇 더, 한 잔 더",お代わりをお願いします。,おかわりをおねがいします。,더 주세요.,ごはんのおかわりをお願いします。,ごはんのおかわりをおねがいします。,밥 한 그릇 더 주세요
おきる,起きる,일어나다,朝が来たら、私はすぐにおきます。,あさがきたら、わたしはすぐにおきます。,"아침이 오면, 나는 곧바로 일어납니다.",私は毎朝7時に起きます。,わたしはまいあさしちじにおきます。,나는 매일 아침 7시에 일어납니다
おく,置く,"두다, 놓다",本をテーブルの上におきました。,ほんをテーブルのうえにおきました。,책을 책상 위에 놓았습니다.,本をテーブルの上に置いておく。,ほんをテーブルのうえにおいておく。,책을 탁자 위에 놓아 두다
おくる,送る,"보내다, 데려다 주다",毎朝母はわたしを学校におくります。,まいあさ はは は わたし を がっこう に おくります。,매일 아침 어머니는 저를 학교에 데려다 줍니다.,友達に誕生日カードをおくる。,ともだちにたんじょうびカードをおくる。,친구에게 생일 카드를 보내다
おくれる,,"늦다, 늦어지다",電車が遅れて、会社に遅刻した。,でんしゃが おくれて、かいしゃに ちこくした。,열차가 늦어 회사에 지각했다.,渋滞で待ち合わせにおくれる。,じゅうたいでまちあわせにおくれる。,교통 체증 때문에 약속에 늦는다
おこす,起こす,"깨우다, 일으키다",朝になるとお母さんが私をおこします。,あさになるとおかあさんがわたしをおこします。,어머니께서 아침이 되면 저를 깨우십니다.,朝、私は息子を起こすために目覚まし時計を鳴らした。,あさ、わたしはむすこをおこすためにめざましどけいをならした。,아침에 나는 아들을 깨우기 위해 알람시계를 울렸다
おこる,起こる,"(일이)일어나다, 발생하다",気分が悪くなるとよく頭痛がおこる。,きぶんが わるく なると よく ズツウが おこる。,기분이 나빠지면 종종 두통이 생긴다.,地震が起こると、電車が遅延することがある。,じしんがおこると、でんしゃがちえんすることがある。,지진이 일어나면 열차가 지연될 수 있다
おじ/おじさん,,"아저씨, 삼촌",おじさんは公園でボール遊びをしていました。,おじさんは こうえんで ボールあそびを していました。,아저씨는 공원에서 공놀이를 하고 있었습니다.,私のおじさんは今、東京にいます。,わたしのおじさんはいま、とうきょうにいます。,나의 삼촌은 지금 도쿄에 있습니다
おじいさん,,할아버지,おじいさんは新聞を読んでいます。,おじいさんはしんぶんをよんでいます。,할아버지께서는 신문을 읽고 계십니다.,私のおじいさんは毎朝新聞を読みます。,わたしのおじいさんはまいあさしんぶんをよみます,내 할아버지는 매일 아침 신문을 읽습니다
おしえる,教える,가르치다,先生は私に算数をおしえてくれました。,せんせいはわたしにさんすうをおしえてくれました。,선생님은 저에게 산수를 가르쳐 주셨습니다.,先生は生徒に日本語をおしえます。,せんせいはせいとににほんごをおしえます。,선생님은 학생들에게 일본어를 가르칩니다
おす,押す,누르다,この扉をおしてください。,この とびら を おして ください。,이 문을 누르세요.,ボタンを押すと電源が入ります。,ぼたんをおすとでんげんがはいります。,버튼을 누르면 전원이 켜집니다
おそい,,"느리다, 늦다",新幹線が遅れているので、おそいです。,しんかんせんがおくれているので、おそいです。,늦어서 신칸센이 늦습니다.,このくるまはおそいです。,このくるまはおそいです。,이 차는 느립니다
おたく,お宅,댁(집의 높임말),お宅にかえったら、すぐにお風呂に入りましょう。,おたくにかえったら、すぐにおふろにはいりましょう。,"댁에 돌아가셨으면, 곧바로 목욕을 하시는 것이 좋겠습니다.",お宅のお庭がきれいですね。,おたくのおにわがきれいですね。,댁의 정원이 예쁘네요
おちゃ,お茶,차,お茶を飲む機会が多いです。,おちゃをのむきかいがおおいです。,차를 마시는 기회가 많습니다.,朝はお茶を飲むのが好きです。,あさはおちゃをのむのがすきです。,아침에는 차를 마시는 것을 좋아합니다
おちる,落ちる,"떨어지다, 빠지다",夕暮れの中、カーテンから葉が一枚おちました。,ゆうぐれのなか、カーテンからはがいちまいおちました。,노을 속에서 커튼에서 잎사귀 한 장이 떨어졌습니다.,リンゴが木から落ちる。,りんごがきからおちる。,나무에서 사과가 떨어진다
おっしゃる,,말씀하시다,先生がおっしゃる通りですね。,せんせいがおっしゃるとおりですね。,선생님께서 말씀하신 대로네요.,部長がおっしゃるとおりです。,ぶちょうがおっしゃるとおりです。,부장님이 말씀하신 대로입니다
おと,音,(사물) 소리,音がうるさいのでヘッドフォンをつけました。,おとがうるさいのでへっどふぉんをつけました。,소리가 시끄러워서 헤드폰을 착용했습니다.,夜、風の音が聞こえる。,よる、かぜのおとがきこえる。,밤에 바람 소리가 들린다
おとうさん,お父さん,아버지,お父さんは新聞を読んでいる。,おとうさんはしんぶんをよんでいる。,아버지는 신문을 읽고 있다.,私のお父さんは医者です。,わたしのおとうさんはいしゃです。,내 아버지는 의사입니다
おとうと,弟,남동생,お弟さんは宿題を手伝ってくれました。,おとうとさんはしゅくだいをてつだってくれました。,동생이 숙제를 도와주었습니다.,私にはおとうとがいます。,わたしにはおとうとがいます。,저에게는 남동생이 있습니다
おとこ,男,"남자, 사내",男は強くあらねばならない。,おとこは つよく あらねば ならない。,남자는 강해야 한다.,彼は強い男だ。,かれはつよいおとこだ。,그는 강한 남자다
おとす,落とす,"떨어뜨리다, 분실하다",車の中からペンを落としてしまった。,くるまのなかからペンをおとしてしまった。,펜을 자동차 안에서 떨어뜨렸다.,私は駅前で財布を落としました。,わたしはえきまえでさいふをおとしました。,저는 역 앞에서 지갑을 떨어뜨렸습니다
おととい,,그저께,おととい、私は本を読んでいました。,おととい、わたしはほんをよんでいました。,그저께 나는 책을 읽고 있었습니다.,おとといは友達と会いました。,おとといはともだちとあいました。,그저께는 친구와 만났습니다
おとな,大人,어른,私はおとなですから、自分で責任を持つべきです。,わたしは おとな ですから、じぶんで せきにんを もつべきです。,나는 어른이기 때문에 스스로 책임을 져야 합니다.,おとなになるには、大人としての責任を自覚することが大切だ。,おとなになるには、おとなとしてのせきにんをじかくすることがたいせつだ。,어른이 되려면 어른으로서의 책임을 자각하는 것이 중요하다
おどる,踊る,춤추다,子供たちがみんな元気に踊っています。,こどもたちがみんなげんきにおどっています。,아이들이 모두 유쾌하게 춤을 춥니다.,私は音楽を聴くとおどる。,わたしはおんがくをきくとおどる。,나는 음악을 들으면 춤을 춘다.
おなか,,(사람)배,おなかがすいています。,おなかがすいています。,배가 고프다.,おなかがすいています。,おなかがすいています。,배가 고파요
おなじ,同じ,같음,それらの建物は全て同じデザインです。,それらのたてものは　ぜんぶ　おなじ　デザイン　です。,그 건물들은 모두 같은 디자인입니다.,この人と私は同じ名前です。,このひととわたしはおなじなまえです。,이 사람과 나는 같은 이름입니다
おにいさん,お兄さん,"형, 오빠",お兄さんは公園で遊んでいました。,おにいさんはこうえんであそんでいました。,"형, 오빠는 공원에서 놀고 있었습니다.",私のお兄さんはとても優しいです。,わたしのおにいさんはとてもやさしいです。,내 오빠는 아주 친절합니다
おねえさん,お姉さん,"누나, 언니",私のおねえさんは、とても優しい人です。,わたしのおねえさんは、とてもやさしいひとです。,내 누나는 아주 친절한 사람입니다.,私のお姉さんは医者です。,わたしのおねえさんはいしゃです。,내 누나는 의사입니다。
おば/おばさん,,"아주머니, 고모",おばさんは花を育てることが大好きです。,おばさんははなをそだてることがだいすきです。,아주머니는 꽃을 기르는 것을 매우 좋아합니다.,おばさんはいつもここでパンを売っています。,おばさんはいつもここでパンをうっています。,그 아주머니는 항상 여기서 빵을 팔고 있습니다
おばあさん,,할머니,おばあさんは庭で花を育てています。,おばあさんは にわで はなを そだてています。,할머니는 정원에서 꽃을 기르고 있습니다.,おばあさんは庭で花を育てています。,おばあさんはにわではなをそだてています,할머니는 정원에서 꽃을 키우고 있습니다
おぼえる,覚える,"기억하다, 익히다, 느끼다",漢字を覚えるのは大変です。,かんじをおぼえるのはたいへんです。,한자를 외우는 것은 어렵습니다.,私は新しい単語を覚えるのが好きです。,わたしはあたらしいたんごをおぼえるのがすきです。,나는 새로운 단어를 기억하는 것을 좋아합니다.
おみやげ,お土産,(여행)선물,お土産を買いすぎた。,おみやげをかいすぎた。,(여행)선물을 너무 많이 샀다.,友達にお土産を買ってきました。,ともだちにおみやげをかってきました。,친구에게 여행 선물을 사 가지고 왔습니다
おもい,重い,무겁다,大きなかばんはおもいです。,おおきな かばんは おもいです。,큰 가방은 무겁습니다.,この荷物はとても重いです。,このにもつはとてもおもいです。,이 짐은 아주 무겁습니다
おもいで,思い出,추억,子供の頃の思い出に浸る時間は心を癒してくれる。,こどものころのおもいでにひたるじかんはこころをいやしてくれる。,어린 시절의 추억에 잠기는 시간은 마음을 치유해준다.,子供の頃の思い出は、今も私の心を温めてくれる。,こどものころのおもいでは、いまもわたしのこころをあたためてくれる。,어릴 적의 추억은 지금도 내 마음을 따뜻하게 해 준다
おもう,思う,생각하다,私はそのことをよくおもいます。,わたしはそのことをよくおもいます。,그것에 대해 자주 생각합니다.,私は明日雨が降ると思います。,わたしはあしたあめがふるとおもいます,나는 내일 비가 올 거라고 생각합니다
おもしろい,,재미있다,日本アニメはおもしろいですね。,にほんアニメはおもしろいですね。,일본 애니메이션은 재미있습니다.,この本はおもしろい。,このほんはおもしろい。,이 책은 재미있다
およぐ,泳ぐ,수영하다,私は毎日プールで泳ぐのが好きです。,わたしはまいにちプールでおよぐのがすきです。,저는 매일 수영장에서 수영하는 것을 좋아합니다.,夏になると川で泳ぐのが好きです。,なつになるとかわでおよぐのがすきです。,여름이 되면 강에서 수영하는 것을 좋아합니다
おりる,降りる,"(탈것에서) 내리다, (아래로) 내려오다",駅で電車からおりました。,えきででんしゃからおりました。,역에서 전차에서 내렸습니다.,私は電車を降りると、改札を抜けて外の空気を吸った。,わたしはでんしゃをおりると、かいさつをぬけてそとのくうきをすった。,나는 전철에서 내려 개찰구를 지나 밖의 공기를 들이마셨다
おる,居る,있다,私は家におります。,わたしはいえにおります。,저는 집에 있습니다.,部屋に猫が居ます。,へやにねこがいます。,방에 고양이가 있습니다
オレンジ,,오렌지,私のお気に入りの果物はオレンジです。,わたしのおきにいりのくだものはオレンジです。,제가 좋아하는 과일은 오렌지입니다.,新商品の名前はオレンジオレンジです。,しんしょうひんのなまえはオレンジオレンジです。,새 상품의 이름은 오렌지오렌지입니다
おわる,終わる,"끝나다, 마치다",夜おそくにお仕事がおわります。,よるおそくにおしごとがおわります。,밤 늦게 일이 끝납니다.,このパーティーはもうすぐ終わる。,このパーティーはもうすぐおわる。,이 파티는 곧 끝난다
おんがく,音楽,음악,お母さんはよくおんがくを聴きます。,おかあさんは よく おんがくを ききます。,엄마는 자주 음악을 듣습니다.,音楽を聴くのが好きです。,おんがくをきくのがすきです。,음악을 듣는 것을 좋아합니다.
おんせん,温泉,온천,お風呂よりおんせんのほうが好きです。,おふろよりおんせんのほうがすきです。,목욕탕보다는 온천이 더 좋습니다.,週末に温泉へ行きます。,しゅうまつにおんせんへいきます。,주말에 온천에 갑니다
おんな,女,여자,私のおんなの友達はとても優しい。,わたしのおんなのともだちはとてもやさしい。,내 여자 친구는 매우 친절합니다.,おんなはきれいです。,おんなはきれいです。,여자는 예쁩니다
カード,,카드,私はクレジットカードを持っています。,わたしはクレジットカードをもっています。,나는 신용 카드를 가지고 있습니다.,レジでカードカードという音が鳴り、支払いが完了した。,れじでカードカードというおとがなり、しはらいがかんりょうした。,계산대에서 카드카드라는 소리가 났고 결제가 완료되었다
かいぎ,会議,회의,来週の月曜日にかいぎがあります。,らいしゅうのげつようびにかいぎがあります。,다음 주 월요일에 회의가 있습니다.,今日は重要な会議があるので、資料を用意して臨みます。,きょうはじゅうようなかいぎがあるので、しりょうをよういしてのぞみます。,오늘은 중요한 회의가 있어 자료를 준비해 참석하겠습니다
がいこく,外国,외국,私はがいこくから来ました。,わたしはがいこくからきました。,나는 외국에서 왔습니다.,私は外国に行ってみたいです。,わたしはがいこくにいってみたいです。,나는 외국에 가보고 싶습니다.
かいしゃ,会社,회사,私はその会社で働いています。,わたしはそのかいしゃではたらいています。,나는 그 회사에서 일하고 있습니다.,私は新しい会社で働き始めました。,わたしはあたらしいかいしゃではたらきはじめました。,나는 새로운 회사에서 일하기 시작했습니다
かいもの,買い物,쇼핑,友人と一緒にかいものに行く予定です。,ゆうじんといっしょにかいものにいくよていです。,친구와 함께 쇼핑을 갈 예정입니다.,今日は買い物に行きました。,きょうはかいものにいきました。,오늘은 쇼핑하러 갔습니다.
かいわ,会話,회화,私たちはよく会話を楽しみます。,わたしたちはよくかいわをたのしみます。,우리는 대화를 자주 즐깁니다.,日本語の会話を練習するのが楽しい。,にほんごのかいわをれんしゅうするのがたのしい。,일본어 회화를 연습하는 것이 재미있다
かう,買う,사다,みかんを買うつもりです。,みかんをかうつもりです。,오렌지를 살 작정입니다.,私は新しい靴を買う。,わたしはあたらしいくつをかう。,나는 새로운 신발을 산다
かえす,返す,돌려주다,あなたのペンを返します。,あなたのペンをかえします。,너의 펜을 돌려줍니다.,友達に借りた本を返す。,ともだちにかりたほんをかえす。,친구에게 빌린 책을 돌려주다
かえる,帰る,돌아오[가]다,夜遅くに家にかえります。,よるおそくにいえにかえります。,늦은 밤에 집에 돌아갑니다.,学校が終わったら、家へ帰る。,がっこうがおわったら、いえへかえる。,학교가 끝나면 집에 돌아간다
かえる,代える・替える,"대신하다, 교환하다",新しい車に代えようと思う。,あたらしい くるま に かえよう と おもう。,새 차로 바꾸려고 한다.,私は古い電池を新しいものに替える。,わたしはふるいでんちをあたらしいものにかえる。,나는 낡은 전지를 새 것으로 바꾼다
かえる,変える,바꾸다,私は今の生活を変えたいと思っています。,わたしは いまの せいかつを かえたいと おもっています。,나는 현재의 생활을 바꾸고 싶다고 생각한다.,私は習慣を変えるために毎朝早起きをする。,わたしはしゅうかんをかえるためにまいあさはやおきをする。,나는 습관을 바꾸기 위해 매일 아침 일찍 일어난다
かお,顔,얼굴,私のかおを見てください。,わたしのかおをみてください。,제 얼굴을 봐주세요.,朝、顔を洗うのは私の習慣です。,あさ、かおをあらうのはわたしのしゅうかんです。,아침에 얼굴을 씻는 것은 내 습관입니다
かかる,,걸리다,病気にかかってしまいました。,びょうきにかかってしまいました。,병에 걸렸습니다.,この作業には時間がかかります。,このさぎょうにはじかんがかかります。,이 작업에는 시간이 걸립니다
かく,書く,쓰다,子供がにっこり笑いながらかきました。,こどもがにっこりわらいながらかきました。,아이가 해쑥해쑥 웃으며 썼다.,私は日記を書きます。,わたしはにっきをかきます。,저는 일기를 씁니다
がくせい,学生,학생,学生はみんな頑張って勉強しています。,がくせいはみんながんばってべんきょうしています。,학생들은 모두 열심히 공부하고 있습니다.,私はがくせいです。,わたしはがくせいです。,저는 학생입니다
かける,,걸다,時計をかけるのを忘れずに。,とけい を かける の を わすれず に 。,시계를 걸지 않는 것을 잊지 마세요.,私は壁に絵を掛けます。,わたしはかべにえをかけます。,나는 벽에 그림을 걸습니다
かさ,,우산,子供は大きなかさを持って外へ出かけた。,こどもは おおきな かさを もって そとへ でかけた。,아이는 큰 우산을 들고 밖으로 나갔습니다.,雨が降っているので、かさを持って出かけました。,あめがふっているので、かさをもってでかけました。,비가 와서 우산을 들고 나갔습니다.
かじ,火事,화재,家の近くでかじが発生した。,いえのちかくでかじがはっせいした。,집 근처에서 화재가 발생했다.,公園の近くで火事が起き、住民が避難した。,こうえんのちかくでかじがおき、じゅうみんがひなんした。,공원 근처에서 화재가 발생했고 주민들이 대피했다
かしゅ,歌手,가수,彼女はとても人気のあるかしゅです。,かのじょはとてもにんきのあるカシュです。,그녀는 매우 인기있는 가수입니다.,彼は日本の有名な歌手です。,かれはにほんのゆうめいなかしゅです。,그는 일본의 유명한 가수입니다.
かす,貸す,빌려주다,母はしばしば友人に本をかしている。,はは は しばしば ゆうじん に ほん を かしている。,엄마는 종종 친구들에게 책을 빌려줍니다.,友達に本を貸す。,ともだちに ほんを かす。,친구에게 책을 빌려주다
かぜ,風,바람,今日は冷たいかぜが吹いている。,きょうはつめたいかぜがふいている。,오늘은 차가운 바람이 부는 날이다.,今日はかぜが強いので、帽子が飛ばされそうだ。,きょうはかぜがつよいので、ぼうしがとばされそうだ。,오늘은 바람이 강해서 모자가 날아갈 것 같다.
かぜ,風邪,감기,子供がかぜをひいているので、学校を休んでいます。,こどもが かぜを ひいているので、がっこうを やすんで います。,아이가 감기에 걸려서 학교를 쉬고 있습니다.,風邪をひいたので、今日は休みます。,かぜをひいたので、きょうはやすみます。,감기에 걸려서 오늘은 쉬겠습니다
かぞえる,数える,세다,今日は10個のりんごを数えました。,きょうは１０このりんごをかぞえました。,오늘은 10개의 사과를 세었습니다.,夜空の星の数を数えるのが好きです。,よぞらのほしのかずをかぞえるのがすきです。,나는 밤하늘에 있는 별의 수를 세는 것을 좋아합니다
かぞく,家族,가족,私の家族は4人家族です。,わたしのかぞくは4にんかぞくです。,나의 가족은 4명 가족입니다.,私の家族は五人です。,わたしのかぞくはごにんです。,내 가족은 다섯 명입니다
かた,方,분,学校の先生がとても優しいかたでした。,がっこうのせんせいがとてもやさしいかたでした。,학교 선생님은 매우 친절한 분이었습니다.,あの方は日本の作家です。,あのかたはにほんのさっかです。,저분은 일본의 작가입니다.
かたい,硬い,"단단하다, 엄하다",その人の態度がとてもかたいです。,そのひとのたいどがとてもかたいです。,그 사람의 태도가 매우 엄격합니다.,この机は硬いです。,このつくえはかたいです。,이 책상은 단단합니다
カタカナ,,가타카나,小説の外国人キャラクターの名前はカタカナで表記されることが多い。,しょうせつの がいこくじん キャラクター の なまえは カタカナ で ひょうきされることが おおい。,소설의 외국인 캐릭터 이름은 가타카나로 표기되는 경우가 많다.,日本語の外来語はカタカナで表記されます。,にほんごのがいらいごはかたかなでひょうきされます。,일본어의 외래어는 가타카나로 표기됩니다.
かつ,勝つ,이기다,彼は重要な試合でかつことができた。,かれは じゅうような しあいで かつことが できた。,그는 중요한 시합에서 이길 수 있었다.,彼は試合で勝つために毎日練習している。,かれはしあいでかつためにまいにちれんしゅうしている。,그는 경기에서 이기기 위해 매일 연습하고 있다
かっこいい,,멋있다,彼は本当にかっこいい人です。,かれはほんとうにかっこいいひとです。,그는 정말 멋진 사람입니다.,このシャツはかっこいいです。,このしゃつはかっこいいです。,이 셔츠는 멋있습니다
がっこう,学校,학교,がっこうで勉強しています。,がっこうでべんきょうしています。,학교에서 공부하고 있습니다.,学校へ行くのが好きです。,がっこうへいくのがすきです,학교에 가는 것을 좋아합니다
かど,角,모퉁이,部屋のかどに花瓶を置いた。,へやのかどにかびんをおいた。,방 모퉁이에 꽃병을 놓았습니다.,この角を右に曲がると駅があります。,このかどをみぎにまがるとえきがあります。,이 모퉁이를 오른쪽으로 도으면 역이 있습니다
かならず,,반드시,私はかならずこの目標を達成します。,わたしはかならずこのもくひょうをたっせいします。,나는 반드시 이 목표를 달성할 것이다.,私はかならず時間を守ります。,わたしはかならずじかんをまもります。,저는 반드시 시간을 지킵니다
かね,金,돈,金がたくさんあれば、心配ありません。,かねがたくさんあれば、しんぱいありません。,돈이 많으면 걱정할 것이 없습니다.,かねを貯めるために、毎月少しずつ貯金しています。,かねをためるために、まいげつすこしずつちょきんしています。,돈을 모으기 위해 매달 조금씩 저축하고 있습니다
かのじょ,彼女,"그녀, 여자친구",彼女はリンゴを食べています。,かのじょは　リンゴを　たべています。,그녀는 사과를 먹고 있습니다.,彼女は私の彼女です。,かのじょはわたしのかのじょです。,그녀는 내 여자친구입니다
かばん,,가방,私はかばんを持っています。,わたしはかばんをもっています。,나는 가방을 갖고 있습니다.,かばんを持って学校へ行きます。,かばんをもってがっこうへいきます。,가방을 들고 학교에 갑니다
かまう,,"관계하다, 상관하다",彼の評価にはあまりかまわない。,かれのひょうかにはあまりかまわない。,그의 평가에는 별로 신경 쓰지 않는다.,人のことをかまうな。,ひとのことをかまうな。,남의 일에 신경 쓰지 마
かみ,紙,종이,机の上にかみが散らばっています。,つくえのうえにかみがちらばっています。,책상 위에 종이가 흩어져 있습니다.,この紙は薄くて軽いです。,このかみはうすくてかるいです。,이 종이는 얇고 가볍습니다
かみ,髪,머리카락,かみを切った。,かみをきった。,머리카락을 자른 것이다.,彼女の髪は黒くて美しい。,かのじょのかみはくろくてうつくしい。,그녀의 머리카락은 검고 아름답다
カメラ,,카메라,カメラを持って旅行に行きます。,かめらをもってりょこうにいきます。,카메라를 가지고 여행에 갑니다.,私は新しいカメラを買いました。,わたしはあたらしいカメラをかいました。,저는 새 카메라를 샀습니다
かもく,科目,과목,私は大学で多くのかもくを学びました。,わたしはだいがくでおおくのかもくをまなびました。,나는 대학에서 많은 과목을 배웠습니다.,私は高校時代に多くの科目を勉強した。,わたしはこうこうじだいにおおくのかもくをべんきょうした,나는 고등학교 시절에 많은 과목을 공부했다.
かよう,通う,다니다,子供たちは毎日学校にかよっています。,こどもたちは まいにち がっこうに かよっています。,아이들은 매일 학교에 다닙니다.,私は毎日学校に通う。,わたしはまいにちがっこうにかよう。,나는 매일 학교에 다닌다.
からい,辛い,맵다,この汁物はとてもからいです。,この　しるもの　は　とても　カライ　です。,이 국물은 매우 맵습니다.,このカレーはとてもからい。,このカレーはとてもからい。,이 카레는 아주 맵다.
からだ,体,몸,彼女の体は細くてきれいだ。,かのじょの からだは ほそくて きれいだ。,그녀의 몸은 가늘고 예쁘다.,からだを大切にするには、十分な睡眠と栄養が必要です。,からだをたいせつにするには、じゅうぶんなすいみんとえいようがひつようです。,몸을 소중히 하려면 충분한 수면과 영양이 필요합니다
かりる,借りる,빌리다,本を図書館からかりる。,ほんをとしょかんからかりる。,도서관에서 책을 빌린다.,今日は友だちに本を借りる予定です。,きょうはともだちにほんをかりるよていです。,오늘은 친구에게 책을 빌릴 예정입니다
かるい,,가볍다,この鞄はかるいです。,このかばんはかるいです。,이 가방은 가볍습니다.,このかばんはかるいです。,このかばんはかるいです。,이 가방은 가볍습니다.
かれ,彼,그,彼は学校に行きました。,かれはがっこうにいきました。,그는 학교에 갔습니다.,彼は日本語を勉強している。,かれはにほんごをべんきょうしている。,그는 일본어를 공부하고 있다
かわ,川,강,私は川べりを散歩するのが好きです。,わたしは かわべりを さんぽするのが すきです。,저는 강가를 산책하는 것을 좋아합니다.,この川はとても美しいです。,このかわはとてもうつくしいです。,이 강은 아주 아름답습니다.
かわいい,,귀엽다,犬がとてもかわいいです。,いぬがとてもかわいいです。,강아지가 정말 귀엽습니다.,この猫はとてもかわいいです。,このねこはとてもかわいいです。,이 고양이는 아주 귀엽습니다
かわる,代わる・替わる,"대신하다, 교체되다",彼は毎週かわるスケジュールで働いています。,かれは まいしゅう かわる スケジュール で はたらいて います。,그는 매주 바뀌는 스케줄로 일하고 있습니다.,会議では出席者が代わる代わる発言をした。,かいぎではしゅっせきしゃがかわるかわるはつげんをした。,회의에서는 참석자들이 차례로 발언했습니다
かわる,変わる,바뀌다,季節がかわります。,きせつが かわります。,계절이 바뀝니다.,季節は毎年変わる。,きせつはまいねんかわる。,계절은 매년 변한다
かんがえる,考える,생각하다,人生について深く考えることが大切です。,じんせいについて ふかく かんがえることが たいせつです。,인생에 대해 깊이 생각하는 것이 중요합니다.,私は将来の計画について考える。,わたしはしょうらいのけいかくについてかんがえる。,나는 미래의 계획에 대해 생각한다
かんきょう,環境,환경,私たちは地球の環境を守る必要があります。,わたしたちは ちきゅうの かんきょうを まもる ひつようが あります。,우리는 지구의 환경을 보호할 필요가 있습니다.,私たちは環境を守るために行動を起こさなければならない。,わたしたちはかんきょうをまもるためにこうどうをおこさなければならない。,우리는 환경을 지키기 위해 행동을 취해야 한다.
かんじ,漢字,한자,私は日本語の漢字を勉強しています。,わたしはにほんごのかんじをべんきょうしています。,나는 일본어 한자 공부를 합니다.,日本語のかんじを覚えるのは難しい。,にほんごのかんじをおぼえるのはむずかしい。,일본어의 한자를 외우는 것은 어렵다
かんたん,,간단함,料理は簡単なものの方が好きです。,りょうりは かんたんな ものの ほうが すきです。,요리는 간단한 것을 좋아합니다.,このテストはかんたんです。,このてすとはかんたんです。,이 테스트는 간단합니다
がんばる,,"힘내다, 열심히 하다",私は試験に合格するためにがんばります。,わたしはしけんにごうかくするためにがんばります。,나는 시험에 합격하기 위해 열심히 노력할 것이다.,明日テストがあるので、がんばる。,あしたてすとがあるので、がんばる。,내일 시험이 있어서 열심히 한다
き,木,나무,木は緑の葉を茂らせる。,き は みどり の は を しげらせる。,나무는 녹색 잎을 무성하게 한다.,この木は大きくて、日陰を作っています。,このきはおおきくて、ひかげをつくっています。,이 나무는 커서 그늘을 만들고 있습니다
き,気,"기운, 마음",彼の気は乱れていた。,かれのきはみだれていた。,그의 기운이 흩트러져 있었다.,新しいプロジェクトが始まり、会社には良い気運が流れている。,あたらしいプロジェクトがはじまり、かいしゃにはよいきうんがながれている。,새로운 프로젝트가 시작되면서 회사에 좋은 기운이 흐르고 있다
きいろい,黄色い,노랗다,そのきいろいセーターが気に入った。,そのきいろいセーターがきにいった。,그 노란 스웨터가 마음에 들었다.,この花はきいろいです。,このはなはきいろいです。,이 꽃은 노랗습니다
きえる,消える,"사라지다, 꺼지다",火が消えると、部屋は真っ暗になった。,ひがきえると、へやはまっくらになった。,"불이 꺼지면, 방은 몹시 어두워졌다.",電気が消えると、部屋が真っ暗になる。,でんきがきえると、へやがまっくらになる。,전기가 꺼지면 방이 아주 깜깜해진다
きく,聞く,"듣다, 묻다",私はよく音楽を聞くことが好きです。,わたしは　よく　おんがくを　きくことが　すきです。,저는 자주 음악을 듣는 것을 좋아합니다.,授業中は先生の話をよく聞くが、分からない点を先生に聞くことも大切だ。,じゅぎょうちゅうはせんせいのはなしをよくきくが、わからないてんをせんせいにきくこともたいせつだ。,"수업 중에는 선생님의 말을 잘 듣고, 모르는 점은 선생님께 묻는 것도 중요하다"
きこえる,聞こえる,들리다,そこからラジオの音がきこえる。,そこから ラジオ の おとが きこえる。,거기서부터 라디오 소리가 들린다.,海の向こうから子どもの声が聞こえる。,うみのむこうからこどものこえがきこえる。,바다 건너편에서 아이의 목소리가 들린다
きせつ,季節,계절,日本の四季を感じられる公園が近くにあります。,にほんの しき を かんじられる こうえん が ちかく に あります。,일본의 사계절을 느낄 수 있는 공원이 가까이에 있습니다.,春はきせつ季節が変わるのを感じる。,はるはきせつきせつがかわるのをかんじる。,봄에는 계절이 바뀌는 것을 느낀다
きた,北,북쪽,北風が吹いている。,きたかぜがふいている。,북풍이 불고 있다.,この地図では北を『きた』と読む。,このちずではきたを『きた』とよむ。,이 지도에서는 북쪽을 '키타'라고 읽는다.
きたない,,더럽다,その部屋はきたないです。,そのへやはきたないです。,그 방은 더럽습니다.,この部屋はきたないです。,このへやはきたないです。,이 방은 더럽습니다
きって,切手,우표,切手を買わないと手紙を送れません。,きってをかわないとてがみをおくれません。,우표를 사지 않으면 편지를 보낼 수 없습니다.,私は切手を集めるのが好きです。,わたしはきってをあつめるのがすきです。,나는 우표를 모으는 것을 좋아합니다
きっと,,꼭,きっとあなたは成功するでしょう。,きっと あなた は せいこう する でしょう。,꼭 당신은 성공할 것입니다.,きっと明日、雨が降るだろう。,きっとあした、あめがふるだろう。,내일은 분명히 비가 올 거예요
きっぷ,,표,切符を買う時は、窓口で支払いをしましょう。,きっぷをかうときは、まどぐちでしはらいをしましょう。,표를 살 때는 창구에서 지불하세요.,新幹線のきっぷを買いました。,しんかんせんのきっぷをかいました。,신칸센 표를 샀습니다.
